GPU,Datetime,Input Voltage L1 (V),Input Voltage L2 (V),Input Voltage L3 (V),Input Voltage THD L1 (%),Input Voltage THD L2 (%),Input Voltage THD L3 (%),Input Frequency (Hz),Input Current L1 (A),Input Current L2 (A),Input Current L3 (A),Input Current THD L1 (%),Input Current THD L2 (%),Input Current THD L3 (%),Input Percent Load Total (%),Input Percent Load L1 (%),Input Percent Load L2 (%),Input Percent Load L3 (%),Input Crest Factor L1,Input Crest Factor L2,Input Crest Factor L3,Input Active Power Total (W),Input Active Power L1 (W),Input Active Power L2 (W),Input Active Power L3 (W),Input Apparent Power Total (VA),Input Apparent Power L1 (VA),Input Apparent Power L2 (VA),Input Apparent Power L3 (VA),Input Reactive Power total (VAR),Input Reactive Power L1 (VAR),Input Reactive Power L2 (VAR),Input Reactive Power L3 (VAR),Input Power Factor Total,Input Power Factor L1,Input Power Factor L2,Input Power Factor L3,Input Partial Energy Total (Wh),Input Partial Energy L1 (Wh),Input Partial Energy L2 (Wh),Input Partial Energy L3 (Wh),Input Cumulated Energy Total (Wh),Input Cumulated Energy L1 (Wh),Input Cumulated Energy L2 (Wh),Input Cumulated Energy L3 (Wh),Neutral Input Current (A)
101_J37_voie1,2025-12-03T11:03:08.000000+00:00,230.3,228.0,228.3,2.2,2.0,2.2,50.0,0.8,2.7,2.8,31.8,10.1,7.0,6.5,2.4,8.5,8.6,1.8,1.6,1.6,1370.1,139.1,607.2,623.8,1396.3,173.6,617.2,634.0,-269.6,-88.9,-94.1,-86.7,1.0,0.8,1.0,1.0,10174570.0,1017719.1,4558082.0,4598769.0,10174570.0,1017719.1,4558082.0,4598769.0,2.0
101_J37_voie2,2025-12-03T09:58:26.000000+00:00,231.8,230.1,230.7,2.3,1.5,2.4,50.0,0.8,2.7,2.8,29.5,9.0,7.1,6.6,2.6,8.4,8.6,1.8,1.6,1.6,1405.6,161.8,611.7,632.2,1430.5,196.1,621.8,634.8,-265.6,-95.4,-94.7,-75.5,1.0,0.8,1.0,1.0,661343.1,76779.0,293834.0,290730.0,661343.1,76779.0,293834.0,290730.0,1.9
101_J37_voie2,2025-12-03T10:03:26.000000+00:00,231.9,230.1,230.5,1.8,2.4,2.1,50.0,0.8,2.7,2.8,29.2,10.7,7.0,6.6,2.6,8.4,8.6,1.9,1.8,1.6,1399.3,161.2,608.3,629.8,1423.9,195.1,649.6,639.6,-263.8,-95.2,-92.9,-75.7,1.0,0.8,1.0,1.0,661460.1,76792.0,293885.0,290783.0,661460.1,76792.0,293885.0,290783.0,2.0
101_J37_voie2,2025-12-03T10:08:26.000000+00:00,231.8,230.1,230.6,2.4,1.4,2.3,50.0,0.8,2.7,2.8,29.4,10.1,7.6,6.6,2.6,8.4,8.7,1.8,1.6,1.6,1410.1,161.0,611.1,638.1,1434.8,195.1,622.4,641.4,-264.9,-95.0,-94.6,-75.3,1.0,0.8,1.0,1.0,661577.1,76806.0,293936.0,290835.0,661577.1,76806.0,293936.0,290835.0,2.0
101_J37_voie2,2025-12-03T10:13:26.000000+00:00,231.8,229.9,230.8,2.1,2.2,2.2,50.1,0.8,2.7,2.8,29.5,9.6,8.2,6.6,2.6,8.5,8.7,1.9,1.6,1.6,1417.5,161.8,616.0,639.7,1442.3,195.7,616.1,646.1,-266.3,-95.1,-95.1,-76.1,1.0,0.8,1.0,1.0,661693.1,76819.0,293987.0,290887.0,661693.1,76819.0,293987.0,290887.0,2.0
101_J37_voie2,2025-12-03T10:18:26.000000+00:00,231.7,230.1,230.7,2.3,1.8,2.3,50.0,0.8,2.7,2.8,29.0,10.0,8.1,6.6,2.6,8.4,8.7,1.9,1.6,1.6,1404.0,162.4,605.6,636.0,1428.7,195.9,615.8,646.1,-264.4,-95.1,-93.1,-76.2,1.0,0.8,1.0,1.0,661813.1,76833.0,294039.0,290941.0,661813.1,76833.0,294039.0,290941.0,1.9
101_J37_voie2,2025-12-03T10:23:26.000000+00:00,231.8,230.1,230.7,1.9,2.1,2.1,50.0,0.8,2.7,2.7,29.2,10.3,7.9,6.6,2.6,8.6,8.6,1.8,1.6,1.6,1408.1,162.1,621.0,625.0,1433.2,196.7,636.5,633.4,-267.3,-95.8,-97.3,-74.1,1.0,0.8,1.0,1.0,661967.1,76846.0,294109.0,291012.0,661967.1,76846.0,294109.0,291012.0,1.9
101_J37_voie2,2025-12-03T10:28:26.000000+00:00,231.8,230.0,230.7,2.2,2.0,2.2,50.0,0.8,2.7,2.7,29.2,10.6,7.9,6.6,2.6,8.4,8.6,1.8,1.6,1.6,1400.2,161.7,610.8,627.7,1425.2,196.0,621.1,639.6,-265.9,-95.1,-94.7,-76.0,1.0,0.8,1.0,1.0,662089.1,76859.0,294163.0,291067.0,662089.1,76859.0,294163.0,291067.0,1.9
101_J37_voie2,2025-12-03T10:33:26.000000+00:00,231.8,230.1,230.7,2.2,2.0,2.1,50.0,0.8,2.8,2.8,28.8,10.2,8.1,6.7,2.7,8.7,8.7,1.9,1.6,1.6,1428.5,162.4,630.5,635.6,1453.1,196.6,621.1,642.0,-266.2,-96.0,-93.9,-76.3,1.0,0.8,1.0,1.0,662234.1,76873.0,294227.0,291134.0,662234.1,76873.0,294227.0,291134.0,1.9
101_J37_voie2,2025-12-03T10:38:26.000000+00:00,231.8,230.0,230.7,2.2,1.8,2.3,50.0,0.8,2.7,2.8,29.0,9.3,8.3,6.6,2.6,8.4,8.7,1.8,1.6,1.6,1409.3,162.5,611.2,635.6,1434.4,197.2,621.7,641.0,-267.1,-96.0,-96.6,-74.5,1.0,0.8,1.0,1.0,662351.1,76887.0,294278.0,291186.0,662351.1,76887.0,294278.0,291186.0,1.9
101_J37_voie2,2025-12-03T10:43:26.000000+00:00,231.8,230.1,230.7,2.1,2.2,2.2,50.0,0.8,2.7,2.8,28.7,11.8,8.5,6.6,2.7,8.4,8.7,1.8,1.6,1.6,1407.0,163.1,605.9,638.0,1431.8,197.0,616.3,644.4,-265.5,-95.4,-94.4,-75.7,1.0,0.8,1.0,1.0,662469.1,76900.0,294329.0,291240.0,662469.1,76900.0,294329.0,291240.0,1.9
101_J37_voie2,2025-12-03T10:48:26.000000+00:00,231.8,230.1,230.4,2.1,1.7,2.2,50.0,0.9,2.9,2.8,29.2,10.2,8.0,6.8,2.7,9.1,8.6,1.9,1.6,1.6,1452.2,163.5,657.2,631.5,1476.8,196.8,614.6,643.6,-268.8,-94.9,-98.3,-75.6,1.0,0.8,1.0,1.0,662587.1,76914.0,294380.0,291293.0,662587.1,76914.0,294380.0,291293.0,2.1
101_J37_voie2,2025-12-03T10:53:26.000000+00:00,231.8,230.0,230.7,2.2,1.7,2.3,50.0,0.9,2.7,2.8,28.6,10.0,7.7,6.6,2.7,8.4,8.7,1.9,1.6,1.6,1408.5,164.9,610.1,633.5,1433.6,198.9,619.8,638.9,-266.6,-96.0,-95.3,-75.3,1.0,0.8,1.0,1.0,662705.1,76928.0,294431.0,291346.0,662705.1,76928.0,294431.0,291346.0,1.9
101_J37_voie2,2025-12-03T10:58:26.000000+00:00,231.8,230.1,230.7,1.9,2.1,2.1,50.0,0.9,2.7,2.8,29.1,10.9,8.2,6.6,2.7,8.5,8.7,1.8,1.8,1.6,1413.3,165.3,613.1,634.9,1438.0,199.2,625.6,641.1,-265.5,-95.8,-95.0,-74.8,1.0,0.8,1.0,1.0,662847.1,76941.0,294495.0,291411.0,662847.1,76941.0,294495.0,291411.0,1.9
101_J37_voie2,2025-12-03T11:03:26.000000+00:00,231.8,230.2,230.7,2.0,2.0,2.2,50.0,0.9,2.7,2.8,28.4,10.7,8.4,6.6,2.7,8.4,8.7,1.8,1.6,1.6,1414.3,164.7,610.1,639.5,1438.8,198.4,620.5,643.4,-264.8,-95.5,-95.0,-74.2,1.0,0.8,1.0,1.0,662965.1,76955.0,294546.0,291464.0,662965.1,76955.0,294546.0,291464.0,1.9
101_J37_voie2,2025-12-03T11:08:26.000000+00:00,231.8,230.1,230.7,2.2,2.0,2.2,50.0,0.9,2.7,2.8,28.9,10.6,7.5,6.6,2.7,8.5,8.7,1.9,1.6,1.6,1417.6,165.4,614.0,638.2,1442.5,199.4,624.4,644.5,-266.5,-96.1,-94.7,-75.8,1.0,0.8,1.0,1.0,663083.1,76969.0,294597.0,291517.0,663083.1,76969.0,294597.0,291517.0,1.9
101_K37_Voie1,2025-12-03T09:48:31.000000+00:00,230.7,228.3,227.8,2.2,2.1,2.1,50.0,0.7,2.8,5.2,32.7,6.6,11.2,9.1,2.2,8.9,16.1,1.8,1.5,1.5,1942.3,132.5,640.4,1169.3,1961.8,166.2,648.2,1175.1,-276.1,-85.4,-90.0,-100.8,1.0,0.8,1.0,1.0,5010268.0,501889.0,2237345.0,2271034.0,5010268.0,501889.0,2237345.0,2271034.0,4.0
101_K37_Voie1,2025-12-03T09:53:31.000000+00:00,230.4,228.4,227.8,1.9,2.1,2.3,50.0,0.7,2.8,5.0,32.7,7.4,9.7,8.9,2.2,8.8,15.6,1.8,1.5,3.0,1896.1,132.6,636.4,1127.1,1916.0,166.3,644.4,651.5,-275.6,-85.0,-90.0,-100.6,1.0,0.8,1.0,0.9,5010397.0,501900.0,2237399.0,2271098.0,5010397.0,501900.0,2237399.0,2271098.0,2.3
101_K37_Voie1,2025-12-03T09:58:31.000000+00:00,230.6,228.2,228.3,1.9,2.3,1.9,50.0,0.7,2.8,2.8,32.2,7.1,9.5,6.6,2.2,8.7,8.8,1.8,1.5,1.6,1395.9,132.2,630.7,633.0,1420.3,165.9,638.7,640.4,-262.6,-85.5,-90.1,-87.0,1.0,0.8,1.0,1.0,5010524.0,501911.0,2237451.0,2271162.0,5010524.0,501911.0,2237451.0,2271162.0,2.2
101_K37_Voie1,2025-12-03T10:03:31.000000+00:00,230.4,228.4,228.3,2.1,1.7,2.2,50.0,0.7,2.8,2.8,32.6,6.8,7.4,6.6,2.3,8.8,8.8,1.9,1.5,1.6,1401.1,133.6,635.5,631.9,1425.5,166.8,642.8,639.5,-263.0,-85.6,-89.2,-88.2,1.0,0.8,1.0,1.0,5010647.0,501922.0,2237505.0,2271220.0,5010647.0,501922.0,2237505.0,2271220.0,2.2
101_K37_Voie1,2025-12-03T10:08:31.000000+00:00,230.5,228.3,228.3,1.9,2.2,2.3,50.0,0.7,2.8,2.9,32.3,6.5,8.8,6.7,2.3,8.7,9.0,1.8,1.5,1.6,1413.5,132.9,630.9,649.8,1437.9,166.7,640.2,655.7,-263.5,-85.5,-89.8,-88.2,1.0,0.8,1.0,1.0,5010772.0,501933.0,2237557.0,2271282.0,5010772.0,501933.0,2237557.0,2271282.0,2.2
101_K37_Voie1,2025-12-03T10:13:31.000000+00:00,230.5,228.3,228.4,2.2,1.8,2.2,50.0,0.7,2.8,2.8,32.6,6.7,8.3,6.6,2.3,8.7,8.8,1.8,1.5,1.6,1397.0,132.9,629.0,635.1,1421.6,166.5,636.3,642.2,-263.1,-85.9,-89.2,-88.1,1.0,0.8,1.0,1.0,5010890.0,501944.0,2237610.0,2271336.0,5010890.0,501944.0,2237610.0,2271336.0,2.2
101_K37_Voie1,2025-12-03T10:18:31.000000+00:00,230.5,228.3,228.3,2.0,2.0,2.2,50.0,0.7,2.8,2.8,32.1,7.0,8.9,6.6,2.3,8.8,8.8,1.8,1.5,1.6,1406.4,133.1,635.2,638.1,1430.4,166.6,641.8,647.6,-260.8,-85.6,-87.6,-87.6,1.0,0.8,1.0,1.0,5011011.0,501955.0,2237663.0,2271393.0,5011011.0,501955.0,2237663.0,2271393.0,2.2
101_K37_Voie1,2025-12-03T10:23:31.000000+00:00,230.7,227.7,228.5,2.1,1.9,2.0,50.0,0.7,5.0,2.8,32.6,6.2,7.7,8.9,2.3,15.7,8.8,1.8,1.5,1.6,1911.3,133.5,1140.0,637.7,1930.0,167.1,1147.6,648.3,-268.3,-85.8,-94.7,-87.8,1.0,0.8,1.0,1.0,5011165.0,501966.0,2237746.0,2271453.0,5011165.0,501966.0,2237746.0,2271453.0,3.8
101_K37_Voie1,2025-12-03T10:28:31.000000+00:00,230.5,228.3,228.3,2.0,2.1,2.3,50.0,0.7,2.8,2.8,32.3,6.6,7.7,6.6,2.3,8.7,8.8,1.8,1.5,1.6,1402.7,135.2,630.5,637.0,1427.1,168.7,639.9,644.4,-262.6,-85.7,-89.3,-87.6,1.0,0.8,1.0,1.0,5011299.0,501977.0,2237812.0,2271510.0,5011299.0,501977.0,2237812.0,2271510.0,2.2
101_K37_Voie1,2025-12-03T10:33:31.000000+00:00,230.5,228.3,228.4,2.0,2.1,2.4,50.0,0.7,2.8,2.9,31.9,6.6,6.2,6.7,2.3,8.6,9.1,1.9,1.5,2.1,1410.5,137.0,623.0,650.5,1437.2,170.1,630.8,663.7,-275.9,-86.3,-89.7,-99.9,1.0,0.8,1.0,1.0,5011448.0,501989.0,2237890.0,2271569.0,5011448.0,501989.0,2237890.0,2271569.0,2.2
101_K37_Voie1,2025-12-03T10:38:31.000000+00:00,230.5,228.3,228.3,2.0,1.9,2.1,50.0,0.7,2.8,2.8,32.2,6.3,10.1,6.6,2.3,8.7,8.8,1.8,1.5,1.6,1402.7,136.8,626.7,639.2,1427.2,170.1,634.7,653.4,-263.0,-86.5,-89.1,-87.4,1.0,0.8,1.0,1.0,5011575.0,502000.0,2237943.0,2271632.0,5011575.0,502000.0,2237943.0,2271632.0,2.2
101_K37_Voie1,2025-12-03T10:43:31.000000+00:00,230.4,228.3,228.3,2.3,1.4,2.3,50.0,0.7,2.8,2.9,31.6,6.7,8.1,6.7,2.3,8.8,9.0,1.8,1.5,1.6,1415.8,136.7,632.0,647.0,1440.4,170.3,640.1,652.8,-265.0,-86.5,-91.2,-87.3,1.0,0.8,1.0,1.0,5011696.0,502011.0,2237995.0,2271690.0,5011696.0,502011.0,2237995.0,2271690.0,2.2
101_K37_Voie1,2025-12-03T10:48:31.000000+00:00,230.5,228.3,228.3,2.3,1.9,2.3,50.0,0.7,2.8,2.8,32.2,6.6,8.1,6.6,2.3,8.7,8.8,1.9,1.5,1.6,1402.5,136.6,629.6,636.3,1427.0,170.0,637.2,643.2,-263.6,-86.4,-90.3,-86.9,1.0,0.8,1.0,1.0,5011820.0,502023.0,2238048.0,2271749.0,5011820.0,502023.0,2238048.0,2271749.0,2.2
101_K37_Voie1,2025-12-03T10:53:31.000000+00:00,230.5,228.2,228.4,2.2,2.0,2.3,50.0,0.7,2.8,2.8,31.7,6.2,7.9,6.7,2.3,8.8,8.9,1.8,1.5,1.6,1411.0,136.9,634.1,640.0,1435.4,170.2,642.0,649.2,-263.2,-86.1,-90.0,-87.1,1.0,0.8,1.0,1.0,5011943.0,502034.0,2238101.0,2271808.0,5011943.0,502034.0,2238101.0,2271808.0,2.2
101_K37_Voie1,2025-12-03T10:58:32.000000+00:00,230.5,228.2,228.4,2.0,2.0,2.1,50.0,0.7,2.8,2.9,31.9,6.8,10.3,6.7,2.3,8.8,8.9,1.8,1.5,1.6,1420.5,137.6,638.5,644.4,1443.8,170.2,645.6,651.4,-258.2,-87.3,-83.1,-87.8,1.0,0.8,1.0,1.0,5012092.0,502046.0,2238177.0,2271869.0,5012092.0,502046.0,2238177.0,2271869.0,2.2
101_K37_Voie1,2025-12-03T11:03:32.000000+00:00,230.5,228.3,228.4,2.2,1.6,2.2,50.0,0.7,2.8,2.8,31.8,6.0,7.1,6.6,2.3,8.8,8.8,1.8,1.5,1.6,1404.9,137.3,632.2,635.4,1429.2,170.6,640.0,642.7,-262.4,-86.6,-89.0,-86.7,1.0,0.8,1.0,1.0,5012213.0,502057.0,2238231.0,2271925.0,5012213.0,502057.0,2238231.0,2271925.0,2.2
101_K37_Voie2,2025-12-03T09:55:24.000000+00:00,231.7,229.7,230.3,2.4,1.8,2.3,50.0,0.8,2.8,2.9,30.2,7.6,10.1,6.8,2.6,8.8,9.1,1.9,1.5,1.6,1463.5,160.4,636.4,666.6,1486.8,195.2,646.2,672.5,-262.5,-96.7,-87.3,-78.6,1.0,0.8,1.0,1.0,11350389.0,1364751.1,4972482.0,5013155.0,11350389.0,1364751.1,4972482.0,5013155.0,2.1
101_K37_Voie2,2025-12-03T10:00:24.000000+00:00,231.5,229.7,230.3,2.0,2.4,2.3,50.0,0.8,2.8,4.7,29.7,7.7,8.1,8.7,2.6,8.8,14.8,1.8,1.5,1.8,1832.0,160.2,641.1,1030.6,1852.6,195.3,649.0,1086.2,-275.5,-96.1,-88.1,-91.3,1.0,0.8,1.0,0.9,11350514.0,1364765.1,4972535.0,5013213.0,11350514.0,1364765.1,4972535.0,5013213.0,3.6
101_K37_Voie2,2025-12-03T10:05:24.000000+00:00,231.5,229.6,230.3,1.9,2.1,2.2,50.0,0.8,2.8,2.9,30.0,7.0,9.9,6.9,2.6,8.8,9.2,1.9,1.5,1.6,1467.5,159.8,638.5,669.1,1490.7,194.8,648.4,679.7,-262.0,-96.4,-87.6,-78.0,1.0,0.8,1.0,1.0,11350644.0,1364778.1,4972588.0,5013277.0,11350644.0,1364778.1,4972588.0,5013277.0,2.1
101_K37_Voie2,2025-12-03T10:10:24.000000+00:00,231.5,229.7,230.3,2.2,2.1,2.4,50.0,0.8,2.8,2.8,29.8,6.9,9.4,6.7,2.6,8.8,8.7,1.8,1.5,1.6,1438.3,160.8,640.3,637.2,1462.2,195.8,648.1,644.0,-263.7,-96.2,-87.8,-79.6,1.0,0.8,1.0,1.0,11350768.0,1364791.1,4972642.0,5013334.0,11350768.0,1364791.1,4972642.0,5013334.0,2.1
101_K37_Voie2,2025-12-03T10:15:24.000000+00:00,231.4,229.7,230.3,2.1,2.2,2.2,50.0,0.8,2.8,2.8,29.6,7.7,7.6,6.7,2.6,8.8,8.8,1.8,1.5,1.6,1440.1,160.9,637.0,642.2,1463.9,196.0,644.9,649.0,-262.9,-96.2,-87.2,-79.5,1.0,0.8,1.0,1.0,11350890.0,1364805.1,4972695.0,5013389.0,11350890.0,1364805.1,4972695.0,5013389.0,2.1
101_K37_Voie2,2025-12-03T10:20:24.000000+00:00,231.6,228.8,230.5,2.3,1.5,2.4,50.0,0.8,5.2,2.8,30.0,9.1,10.7,9.3,2.6,16.4,8.8,1.8,1.5,1.6,1999.0,160.8,1196.4,641.8,2018.0,195.7,1202.0,662.9,-275.7,-95.0,-102.5,-78.2,1.0,0.8,1.0,1.0,11351019.0,1364818.1,4972752.0,5013448.0,11351019.0,1364818.1,4972752.0,5013448.0,3.8
101_K37_Voie2,2025-12-03T10:25:24.000000+00:00,231.4,229.7,230.3,1.9,2.3,2.1,50.0,0.9,2.8,2.8,29.4,7.8,7.8,6.7,2.7,8.7,8.8,1.8,1.5,1.6,1440.3,163.3,632.3,644.7,1464.0,198.2,640.2,649.9,-262.5,-96.8,-87.6,-78.0,1.0,0.8,1.0,1.0,11351178.0,1364832.1,4972839.0,5013506.0,11351178.0,1364832.1,4972839.0,5013506.0,2.1
101_K37_Voie2,2025-12-03T10:30:24.000000+00:00,231.6,228.8,230.5,1.9,2.2,2.3,50.0,0.8,5.8,2.8,30.0,9.8,8.2,9.9,2.6,18.1,8.9,1.9,1.5,1.6,2127.3,160.9,1318.3,648.1,2145.8,196.0,1324.1,654.7,-281.0,-96.0,-105.6,-79.4,1.0,0.8,1.0,1.0,11351311.0,1364845.1,4972900.0,5013565.0,11351311.0,1364845.1,4972900.0,5013565.0,4.3
101_K37_Voie2,2025-12-03T10:35:24.000000+00:00,231.4,229.7,230.3,2.0,2.0,2.3,50.0,0.9,2.8,2.9,29.5,7.4,7.4,6.8,2.7,8.7,9.0,1.9,1.5,1.6,1448.3,162.4,630.2,655.7,1472.1,197.3,638.2,1011.0,-263.5,-96.8,-88.1,-78.6,1.0,0.8,1.0,1.0,11351462.0,1364859.1,4972975.0,5013627.0,11351462.0,1364859.1,4972975.0,5013627.0,2.1
101_K37_Voie2,2025-12-03T10:40:24.000000+00:00,231.6,229.8,229.6,2.1,2.0,2.1,50.0,0.9,2.8,5.2,29.8,7.2,12.0,9.3,2.7,8.8,16.4,1.8,1.5,1.5,1997.8,162.9,638.6,1196.3,2016.8,197.8,646.4,1201.4,-276.1,-96.3,-87.1,-92.7,1.0,0.8,1.0,1.0,11351589.0,1364872.1,4973028.0,5013688.0,11351589.0,1364872.1,4973028.0,5013688.0,3.9
101_K37_Voie2,2025-12-03T10:45:24.000000+00:00,231.4,229.5,230.4,1.7,2.6,1.9,50.0,0.9,2.8,2.8,29.1,7.7,8.7,6.8,2.7,8.8,8.8,1.9,1.5,1.6,1445.4,162.9,638.3,644.2,1469.3,197.8,646.1,652.2,-263.6,-96.8,-87.5,-79.3,1.0,0.8,1.0,1.0,11351716.0,1364886.1,4973081.0,5013748.0,11351716.0,1364886.1,4973081.0,5013748.0,2.1
